query,label
Is there a maximum amount I can spend on a single expense report without approval?,hr_policies
How do we typically handle and resolve conflicts when merging code between feature branches?,internal_docs
Are there any restrictions on the number of dependents eligible for dependent care FSA contributions?,hr_policies
Is there a way to search for employee reviews by skill or technology?,employee_db
What is our total sales pipeline value for the pharmaceutical industry segment?,crm_leads
Is there an API available to integrate with our CRM system for data retrieval?,crm_leads
Do we have any open issues or outstanding tasks related to the ongoing platform migration project?,internal_docs
How do I request a change to an existing technical specification document?,internal_docs
Do remote workers get access to the same benefits as on-site employees?,hr_policies
Is there an existing knowledge base article on best practices for secure coding techniques?,internal_docs
Can you look up Michael Brown's PTO usage for the past 3 years?,employee_db
Can you show me today's stock prices for Microsoft Corporation and its competitors?,web_search
I need to find out if employee ID 67890 has any outstanding performance goals.,employee_db
Is there a way to search by job title and get a list of all employees holding that position?,employee_db
Can I expense a new laptop as a business expense if it's used 50% for work and 50% for personal purposes?,hr_policies
What was the closing price of Amazon stock last Friday before market close?,web_search
Can you give me a report on the average salary range for software engineers at our company?,employee_db
What is the average time-to-promote for engineers at our company?,employee_db
How many people have been vaccinated against COVID-19 worldwide as per the WHO reports?,web_search
How many open deals do we have with clients who are also investors in our company?,crm_leads
What are our quarterly sales targets for each individual product line?,crm_leads
Can you provide me with a list of all active deals over $100k that were started in Q2?,crm_leads
Can you walk me through the step-by-step process for debugging a production issue with our API?,internal_docs
How do we currently handle backups for our critical systems?,internal_docs
Is there a way to filter employee search results by department and job title?,employee_db
How many people have been vaccinated against COVID-19 in the European Union as per the EU reports?,web_search
What are the standard benefits for employees who take parental leave beyond 12 weeks?,hr_policies
How many clients do we currently have in our pipeline who have also shown interest in our training services?,crm_leads
Can you provide an update on the ongoing protests in Hong Kong?,web_search
"I need to find all clients who have signed contracts worth over $750,000 in the last year.",crm_leads
What is the average tenure of employees in our sales team?,employee_db
Can you give me a list of all employees who have been with the company for more than 5 years?,employee_db
Are there any active deals with a deadline within the next 30 days?,crm_leads
How did the Dow Jones Industrial Average perform yesterday in response to the Fed's interest rate announcement?,web_search
What is the current ranking of the top 10 cryptocurrencies in terms of market capitalization?,web_search
Can you find me an article on the impact of the EU's new digital services tax on international e-commerce companies?,web_search
How do I access Bob Johnson's performance review from last year?,employee_db
What is the current unemployment rate in the US?,web_search
How does our new authentication mechanism compare to the previous one implemented in 2015?,internal_docs
How do today's stock prices for Google compare to their IPO price in 2004?,web_search
"How many clients have we signed contracts with in the past quarter that are worth over $100,000?",crm_leads
Can you show me all open deals that have been pending for over 90 days and their respective values?,crm_leads
How do I retrieve a copy of the company's intellectual property policy?,internal_docs
What is the average cost of a new iPhone in different markets worldwide?,web_search
What are the company's policies and procedures for handling confidential information and proprietary data during remote work?,hr_policies
What is our current pipeline value for the Smith account?,crm_leads
What is the process for reporting and resolving conflicts with coworkers or supervisors?,hr_policies
Is there any information available on our quarterly sales targets for marketing campaigns?,crm_leads
Is there a way to see all employees with more than 5 years of service at the company?,employee_db
I'm trying to identify trends - can you give me a breakdown of our quarterly sales targets over the past year?,crm_leads
How do I request access to the engineering architecture diagrams for a specific project?,internal_docs
What's the current state of the global chip shortage affecting automakers?,web_search
Can you give me access to Tom Harris' personnel file?,employee_db
Can you show me John Doe's PTO balance as of last quarter?,employee_db
What is our current sales pipeline status for client Johnson & Co.?,crm_leads
Are there any ongoing developments on the Amazon Luna cloud gaming platform?,web_search
Are there any specific rules or guidelines for reporting expenses related to travel or entertainment?,hr_policies
Can you retrieve a list of all active deals with contract values over $50k?,crm_leads
How do we currently integrate with the popular third-party authentication library?,internal_docs
Can I get a list of all employees who have received promotions in the past year?,employee_db
What are some key takeaways from the recent G7 summit?,web_search
I'm trying to find all employees who have worked on project Y; can you give me their names and job titles?,employee_db
What is the current job title and department for Michael Brown?,employee_db
Is there a way to search for employee performance reviews by project or manager?,employee_db
I need to retrieve all deals with a contract value above $2 million and an end date within the next 6 months.,crm_leads
Can you provide today's stock prices for Apple and Google?,web_search
"What is our total quarterly sales target for Q4, and what percentage of that have we already met?",crm_leads
Can you provide me with a list of approved vendors for procurement and procurement processes?,internal_docs
Do we have any existing documentation on implementing secure communication protocols for cloud-based services?,internal_docs
What is the average salary range for software engineers with 5-7 years of experience in our company?,employee_db
How do I ensure compliance with our company's data security policies when working remotely?,hr_policies
Is there a way to look up all employees with the same manager as Sarah Lee?,employee_db
Can I access information on the history of our company's major product updates?,internal_docs
Where can I find historical data on project timelines and milestones?,internal_docs
How do I request a flexible schedule to accommodate a medical condition?,hr_policies
How do today's stock prices for Amazon compare to their 52-week low?,web_search
Can you generate a report showing all client names and their corresponding deal values?,crm_leads
Can you provide me with a copy of the standard operating procedure for handling customer complaints?,internal_docs
What are the current performance metrics and benchmarks for our company's mainframe infrastructure?,internal_docs
Can I get a list of all the active maintenance contracts for our legacy software products?,internal_docs
"How many times can an employee take advantage of the company's ""summer hours"" program per year?",hr_policies
How many days of PTO does Jane Doe currently have remaining?,employee_db
